group|smarts|true_smarts|contribute|composed|molecular_weight|subgroup_number|main_group|R|Q
SIO|[SiX4H0]O[Si,CH0;!$([SiH]);!$([SiH2]);!$([CH](=O));!$(C(=O)[!O])]|[SiX4H0]O|"{""SIO"": 1, ""SI"": -1}"|n|44.085|84|43|1.1044|0.4657
NMP|[CH2]1N([CH3])[C](=O)[CH2][CH2]1||"{""NMP"": 1, ""CH2"": -2, ""AMCH3CH2"": -1}"|n|99.1312|85|44|3.981|3.2
CCL3F|[CH0](Cl)(Cl)(Cl)(F)||"{""CCL3F"": 1, ""CCL3"": -1, ""CF"": -1, ""C"": 1}"|n|137.368|86|45|3.0356|2.644
CCL2F|[CH0](Cl)(Cl)(F)([!Cl&!F])|[CH0](Cl)(Cl)(F)|"{""CCL2F"": 1, ""CCL2"": -1, ""CF"": -1, ""C"": 1}"|n|101.915|87|45|2.2287|1.916
HCCL2F|[CH](Cl)(Cl)(F)||"{""HCCL2F"": 1, ""CHCL2"": -1}"|n|102.9228|88|45|2.406|2.116
HCCLF|[CH](Cl)(F)([!Cl&!F])|[CH](Cl)(F)|"{""HCCLF"": 1, ""CHCL"": -1}"|n|67.4698|89|45|1.6493|1.416
CCLF2|[CH0](Cl)(F)(F)([!Cl&!F])|[CH0](Cl)(F)(F)|"{""CCLF2"": 1, ""CCL"": -1, ""CF2"": -1, ""C"": 1}"|n|85.46|90|45|1.8174|1.648
HCCLF2|[CH](Cl)(F)(F)||"{""HCCLF2"": 1, ""CHCL"": -1}"|n|86.4678|91|45|1.967|1.828
CCLF3|[CH0](Cl)(F)(F)(F)||"{""CCLF3"": 1, ""CCL"": -1, ""CF3"": -1, ""C"": 1}"|n|104.458|92|45|2.1721|2.1
CCL2F2|[CH0](Cl)(Cl)(F)(F)||"{""CCL2F2"": 1, ""CCL2"": -1, ""CF2"": -1, ""C"": 1}"|n|120.913|93|45|2.6243|2.376
AMH2|[CH0](=O)([NH2])([!O])|[CH0](=O)([NH2])|"{""AMH2"": 1}"|n|44.0326|94|46|1.4515|1.248
AMHCH3|[CH0](=O)([NH][CH3])([!O])|[CH0](=O)([NH][CH3])|"{""AMHCH3"": 1, ""CH3"": -1}"|n|58.0592|95|46|2.1905|1.796
AMHCH2|[CH0](=O)([NH][CH2])([!O])|[CH0](=O)([NH][CH2])|"{""AMHCH2"": 1, ""CH2"": -1}"|n|57.0514|96|46|1.9637|1.488
AM(CH3)2|[CH0](=O)([N]([CH3])[CH3])([!O])|[CH0](=O)([N]([CH3])[CH3])|"{""AM(CH3)2"": 1, ""CH3"": -2}"|n|72.0858|97|46|2.8589|2.428
